dem,dist_to_water,flow_acc,geom,lulc,ndwi,rain,runoff_coeff,slope,soilTx,soil_moisture,stream_order,level
1.0,4.0,1.0,24.0,40.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,1
2.0,4.0,2.0,24.0,40.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,1
3.0,4.0,3.0,24.0,40.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,1
3.0,4.0,3.0,24.0,40.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,1
2.0,4.0,2.0,34.0,40.0,1.0,1.0,2.0,0.0,1.0,4.0,0.0,1
2.0,4.0,2.0,34.0,40.0,2.0,1.0,0.0,0.0,1.0,4.0,3.0,1
2.0,4.0,2.0,34.0,40.0,1.0,1.0,0.0,0.0,1.0,4.0,3.0,1
2.0,3.0,2.0,24.0,40.0,2.0,1.0,1.0,0.0,1.0,4.0,0.0,1
2.0,3.0,2.0,24.0,40.0,2.0,1.0,1.0,0.0,1.0,4.0,0.0,1
2.0,3.0,2.0,24.0,40.0,2.0,1.0,1.0,0.0,1.0,4.0,0.0,1
2.0,3.0,2.0,24.0,40.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,1
2.0,3.0,2.0,24.0,40.0,1.0,1.0,2.0,0.0,1.0,4.0,0.0,1
2.0,3.0,2.0,24.0,40.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,1
2.0,3.0,2.0,24.0,40.0,1.0,1.0,2.0,0.0,1.0,4.0,0.0,1
2.0,3.0,2.0,24.0,40.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,1
2.0,3.0,2.0,24.0,40.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,1
2.0,3.0,2.0,24.0,40.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,1
2.0,3.0,2.0,24.0,40.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,1
2.0,3.0,2.0,24.0,40.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,1
1.0,3.0,1.0,34.0,40.0,2.0,3.0,3.0,0.0,1.0,4.0,3.0,2
3.0,4.0,3.0,24.0,40.0,0.0,2.0,3.0,1.0,1.0,4.0,2.0,2
3.0,3.0,3.0,34.0,40.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,2
2.0,3.0,2.0,24.0,40.0,2.0,2.0,3.0,1.0,1.0,4.0,0.0,2
2.0,3.0,2.0,34.0,40.0,1.0,2.0,2.0,0.0,1.0,3.0,4.0,2
3.0,3.0,3.0,24.0,40.0,2.0,2.0,3.0,1.0,1.0,4.0,0.0,2
4.0,4.0,4.0,24.0,40.0,1.0,2.0,3.0,1.0,1.0,3.0,0.0,2
2.0,3.0,2.0,21.0,20.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,2
2.0,3.0,2.0,34.0,40.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,2
3.0,3.0,3.0,34.0,40.0,2.0,1.0,3.0,0.0,1.0,3.0,1.0,2
